Type,Company,Date,Owner,Outcome,Duration (min),Notes
Call,Vertex Manufacturing,2026-03-14,Ana Petrovic,Positive,45,Discussed pricing tiers and implementation timeline
Email,ClearSky Airlines,2026-03-13,Stefan Jovic,Neutral,0,Sent case study on travel industry deployment
Meeting,NorthStar Logistics,2026-03-12,Marko Nikolic,Positive,60,Demo went well. CTO wants security review
Call,EduSpark Academy,2026-03-12,Jelena Savic,Positive,30,Budget approved. Moving to proposal stage
Email,GreenGrid Energy,2026-03-11,Stefan Jovic,No Response,0,Initial outreach with ROI calculator
Meeting,Pacific Retail Group,2026-03-11,Ana Petrovic,Positive,90,Full team demo. Asked for custom integration
Call,Quantum Insurance,2026-03-10,Marko Nikolic,Neutral,25,Compliance team has questions about data residency
Email,Atlas Media Group,2026-03-10,Jelena Savic,Neutral,0,Shared product overview deck
Meeting,Pinnacle Construction,2026-03-09,Stefan Jovic,Positive,75,Scoped out pilot project. 3-month timeline
Call,FreshHarvest Foods,2026-03-08,Jelena Savic,Positive,35,Ready for proposal. Need multi-location support
Email,TitanCore Hosting,2026-03-07,Ana Petrovic,No Response,0,Follow-up on conference conversation
Call,SwiftPay Solutions,2026-03-06,Stefan Jovic,Neutral,20,Early stage. Exploring alternatives
Meeting,Vertex Manufacturing,2026-03-05,Ana Petrovic,Positive,120,Technical deep dive with engineering team
Email,NorthStar Logistics,2026-03-04,Marko Nikolic,Positive,0,Sent security whitepaper and SOC2 report
Call,ClearSky Airlines,2026-03-03,Stefan Jovic,Positive,40,VP interested. Scheduling exec meeting
